NVIDIA GeForce RTX 4090   lr 0.0003  wd 0.05  cosine + 3ep warmup, no augmentation
train (112800, 28, 28)  test (18800, 28, 28)  subsets [28200, 28200, 28200, 28200]
  tiny112_set1           ep 40 set 1  test 0.8494  current 1.0000  set1 1.0000  (387 s)
  tiny112_set1           ep 41 set 1  test 0.8490  current 1.0000  set1 1.0000  (397 s)
  tiny112_set1           ep 42 set 1  test 0.8498  current 1.0000  set1 1.0000  (407 s)
  tiny112_set1           ep 43 set 1  test 0.8504  current 1.0000  set1 1.0000  (416 s)
  tiny112_set1           ep 44 set 1  test 0.8495  current 1.0000  set1 1.0000  (426 s)
  tiny112_set1           ep 45 set 1  test 0.8506  current 1.0000  set1 1.0000  (436 s)
  tiny112_set1           ep 46 set 1  test 0.8503  current 1.0000  set1 1.0000  (445 s)
  tiny112_set1           ep 47 set 1  test 0.8503  current 1.0000  set1 1.0000  (455 s)
  tiny112_set1           ep 48 set 1  test 0.8501  current 1.0000  set1 1.0000  (465 s)
  tiny112_set1           ep 49 set 1  test 0.8487  current 1.0000  set1 1.0000  (474 s)
  tiny112_set1           ep 50 set 1  test 0.8495  current 1.0000  set1 1.0000  (484 s)
  tiny112_set1           ep 51 set 1  test 0.8492  current 1.0000  set1 1.0000  (494 s)
  tiny112_set1           ep 52 set 1  test 0.8484  current 1.0000  set1 1.0000  (503 s)
  tiny112_set1           ep 53 set 1  test 0.8494  current 1.0000  set1 1.0000  (513 s)
  tiny112_set1           ep 54 set 1  test 0.8504  current 1.0000  set1 1.0000  (523 s)
  tiny112_set1           ep 55 set 1  test 0.8502  current 1.0000  set1 1.0000  (532 s)
  tiny112_set1           ep 56 set 1  test 0.8497  current 1.0000  set1 1.0000  (542 s)
  tiny112_set1           ep 57 set 1  test 0.8502  current 1.0000  set1 1.0000  (552 s)
  tiny112_set1           ep 58 set 1  test 0.8504  current 1.0000  set1 1.0000  (561 s)
  tiny112_set1           ep 59 set 1  test 0.8504  current 1.0000  set1 1.0000  (571 s)
  tiny112_set1           ep 60 set 1  test 0.8506  current 1.0000  set1 1.0000  (581 s)
  base224_switch         ep  1 set 1  test 0.5160  current 0.5110  set1 0.5110  (100 s)
  base224_switch         ep  2 set 1  test 0.7462  current 0.7537  set1 0.7537  (189 s)
  base224_switch         ep  3 set 1  test 0.8022  current 0.8113  set1 0.8113  (278 s)
  base224_switch         ep  4 set 1  test 0.8269  current 0.8403  set1 0.8403  (368 s)
  base224_switch         ep  5 set 1  test 0.8372  current 0.8506  set1 0.8506  (457 s)
  base224_switch         ep  6 set 1  test 0.8406  current 0.8576  set1 0.8576  (546 s)
  base224_switch         ep  7 set 1  test 0.8508  current 0.8758  set1 0.8758  (636 s)
  base224_switch         ep  8 set 1  test 0.8555  current 0.8810  set1 0.8810  (725 s)
  base224_switch         ep  9 set 1  test 0.8538  current 0.8818  set1 0.8818  (814 s)
  base224_switch         ep 10 set 1  test 0.8680  current 0.9060  set1 0.9060  (904 s)
  base224_switch         ep 11 set 1  test 0.8590  current 0.9026  set1 0.9026  (993 s)
  base224_switch         ep 12 set 1  test 0.8630  current 0.9190  set1 0.9190  (1082 s)
  base224_switch         ep 13 set 1  test 0.8602  current 0.9191  set1 0.9191  (1172 s)
  base224_switch         ep 14 set 1  test 0.8681  current 0.9413  set1 0.9413  (1261 s)
  base224_switch         ep 15 set 1  test 0.8573  current 0.9390  set1 0.9390  (1350 s)
  base224_switch         ep 16 set 2  test 0.8714  current 0.8938  set1 0.9035  (1440 s)
  base224_switch         ep 17 set 2  test 0.8706  current 0.9025  set1 0.9009  (1529 s)
  base224_switch         ep 18 set 2  test 0.8745  current 0.9143  set1 0.9016  (1619 s)
  base224_switch         ep 19 set 2  test 0.8735  current 0.9244  set1 0.9000  (1708 s)
  base224_switch         ep 20 set 2  test 0.8759  current 0.9483  set1 0.9073  (1797 s)
  base224_switch         ep 21 set 2  test 0.8693  current 0.9578  set1 0.9015  (1887 s)
  base224_switch         ep 22 set 2  test 0.8640  current 0.9691  set1 0.8970  (1976 s)
  base224_switch         ep 23 set 2  test 0.8660  current 0.9839  set1 0.8971  (2065 s)
  base224_switch         ep 24 set 2  test 0.8679  current 0.9911  set1 0.8999  (2154 s)
  base224_switch         ep 25 set 2  test 0.8687  current 0.9894  set1 0.8965  (2244 s)
  base224_switch         ep 26 set 2  test 0.8582  current 0.9949  set1 0.8895  (2333 s)
  base224_switch         ep 27 set 2  test 0.8631  current 0.9971  set1 0.8940  (2422 s)
  base224_switch         ep 28 set 2  test 0.8615  current 0.9986  set1 0.8955  (2512 s)
  base224_switch         ep 29 set 2  test 0.8659  current 0.9983  set1 0.8932  (2601 s)
  base224_switch         ep 30 set 2  test 0.8669  current 0.9981  set1 0.8914  (2691 s)
  base224_switch         ep 31 set 3  test 0.8853  current 0.9099  set1 0.8972  (2781 s)
  base224_switch         ep 32 set 3  test 0.8786  current 0.9222  set1 0.8935  (2870 s)
  base224_switch         ep 33 set 3  test 0.8861  current 0.9506  set1 0.9020  (2959 s)
  base224_switch         ep 34 set 3  test 0.8812  current 0.9778  set1 0.9007  (3116 s)
  base224_switch         ep 35 set 3  test 0.8768  current 0.9891  set1 0.8921  (3300 s)
  base224_switch         ep 36 set 3  test 0.8728  current 0.9978  set1 0.8945  (3485 s)
  base224_switch         ep 37 set 3  test 0.8756  current 0.9977  set1 0.8926  (3669 s)
  base224_switch         ep 38 set 3  test 0.8757  current 0.9998  set1 0.8912  (3854 s)
  base224_switch         ep 39 set 3  test 0.8755  current 0.9998  set1 0.8935  (4038 s)
  base224_switch         ep 40 set 3  test 0.8737  current 0.9998  set1 0.8914  (4181 s)
  base224_switch         ep 41 set 3  test 0.8777  current 0.9999  set1 0.8922  (4271 s)
  base224_switch         ep 42 set 3  test 0.8771  current 0.9998  set1 0.8930  (4361 s)
  base224_switch         ep 43 set 3  test 0.8739  current 1.0000  set1 0.8920  (4450 s)
  base224_switch         ep 44 set 3  test 0.8756  current 1.0000  set1 0.8927  (4539 s)
  base224_switch         ep 45 set 3  test 0.8746  current 1.0000  set1 0.8926  (4629 s)
  base224_switch         ep 46 set 4  test 0.8881  current 0.9129  set1 0.8995  (4718 s)
  base224_switch         ep 47 set 4  test 0.8893  current 0.9323  set1 0.9019  (4807 s)
  base224_switch         ep 48 set 4  test 0.8894  current 0.9490  set1 0.9015  (4896 s)
  base224_switch         ep 49 set 4  test 0.8868  current 0.9652  set1 0.8998  (4986 s)
  base224_switch         ep 50 set 4  test 0.8842  current 0.9805  set1 0.8957  (5075 s)
  base224_switch         ep 51 set 4  test 0.8834  current 0.9884  set1 0.8950  (5164 s)
  base224_switch         ep 52 set 4  test 0.8813  current 0.9933  set1 0.8934  (5254 s)
  base224_switch         ep 53 set 4  test 0.8800  current 0.9967  set1 0.8923  (5343 s)
  base224_switch         ep 54 set 4  test 0.8804  current 0.9979  set1 0.8930  (5432 s)
  base224_switch         ep 55 set 4  test 0.8819  current 0.9987  set1 0.8921  (5522 s)
  base224_switch         ep 56 set 4  test 0.8808  current 0.9989  set1 0.8918  (5611 s)
  base224_switch         ep 57 set 4  test 0.8807  current 0.9990  set1 0.8916  (5700 s)
  base224_switch         ep 58 set 4  test 0.8807  current 0.9992  set1 0.8918  (5790 s)
  base224_switch         ep 59 set 4  test 0.8808  current 0.9992  set1 0.8917  (5879 s)
  base224_switch         ep 60 set 4  test 0.8806  current 0.9992  set1 0.8919  (5968 s)
  base224_set1           ep  1 set 1  test 0.5160  current 0.5110  set1 0.5110  (89 s)
  base224_set1           ep  2 set 1  test 0.7462  current 0.7537  set1 0.7537  (179 s)
  base224_set1           ep  3 set 1  test 0.8022  current 0.8113  set1 0.8113  (268 s)
  base224_set1           ep  4 set 1  test 0.8269  current 0.8403  set1 0.8403  (358 s)
  base224_set1           ep  5 set 1  test 0.8372  current 0.8506  set1 0.8506  (447 s)
  base224_set1           ep  6 set 1  test 0.8406  current 0.8576  set1 0.8576  (537 s)
  base224_set1           ep  7 set 1  test 0.8508  current 0.8758  set1 0.8758  (626 s)
  base224_set1           ep  8 set 1  test 0.8555  current 0.8810  set1 0.8810  (715 s)
  base224_set1           ep  9 set 1  test 0.8538  current 0.8818  set1 0.8818  (805 s)
  base224_set1           ep 10 set 1  test 0.8680  current 0.9060  set1 0.9060  (894 s)
  base224_set1           ep 11 set 1  test 0.8590  current 0.9026  set1 0.9026  (984 s)
  base224_set1           ep 12 set 1  test 0.8630  current 0.9190  set1 0.9190  (1073 s)
  base224_set1           ep 13 set 1  test 0.8602  current 0.9191  set1 0.9191  (1163 s)
  base224_set1           ep 14 set 1  test 0.8681  current 0.9413  set1 0.9413  (1252 s)
  base224_set1           ep 15 set 1  test 0.8573  current 0.9390  set1 0.9390  (1341 s)
  base224_set1           ep 16 set 1  test 0.8622  current 0.9562  set1 0.9562  (1431 s)
  base224_set1           ep 17 set 1  test 0.8588  current 0.9670  set1 0.9670  (1520 s)
  base224_set1           ep 18 set 1  test 0.8615  current 0.9816  set1 0.9816  (1610 s)
  base224_set1           ep 19 set 1  test 0.8619  current 0.9865  set1 0.9865  (1699 s)
  base224_set1           ep 20 set 1  test 0.8566  current 0.9914  set1 0.9914  (1788 s)
  base224_set1           ep 21 set 1  test 0.8555  current 0.9929  set1 0.9929  (1878 s)
  base224_set1           ep 22 set 1  test 0.8578  current 0.9911  set1 0.9911  (1967 s)
  base224_set1           ep 23 set 1  test 0.8531  current 0.9921  set1 0.9921  (2057 s)
  base224_set1           ep 24 set 1  test 0.8599  current 0.9940  set1 0.9940  (2146 s)
  base224_set1           ep 25 set 1  test 0.8580  current 0.9960  set1 0.9960  (2236 s)
  base224_set1           ep 26 set 1  test 0.8598  current 0.9983  set1 0.9983  (2325 s)
  base224_set1           ep 27 set 1  test 0.8595  current 0.9984  set1 0.9984  (2414 s)
  base224_set1           ep 28 set 1  test 0.8499  current 0.9966  set1 0.9966  (2504 s)
  base224_set1           ep 29 set 1  test 0.8566  current 0.9984  set1 0.9984  (2593 s)
  base224_set1           ep 30 set 1  test 0.8567  current 0.9980  set1 0.9980  (2683 s)
  base224_set1           ep 31 set 1  test 0.8570  current 0.9979  set1 0.9979  (2772 s)
  base224_set1           ep 32 set 1  test 0.8524  current 0.9974  set1 0.9974  (2861 s)
  base224_set1           ep 33 set 1  test 0.8581  current 0.9983  set1 0.9983  (2951 s)
  base224_set1           ep 34 set 1  test 0.8589  current 0.9996  set1 0.9996  (3040 s)
  base224_set1           ep 35 set 1  test 0.8633  current 0.9993  set1 0.9993  (3130 s)
  base224_set1           ep 36 set 1  test 0.8567  current 0.9993  set1 0.9993  (3219 s)
  base224_set1           ep 37 set 1  test 0.8596  current 0.9993  set1 0.9993  (3308 s)
  base224_set1           ep 38 set 1  test 0.8644  current 0.9998  set1 0.9998  (3398 s)
  base224_set1           ep 39 set 1  test 0.8598  current 0.9998  set1 0.9998  (3487 s)
  base224_set1           ep 40 set 1  test 0.8625  current 0.9997  set1 0.9997  (3577 s)
  base224_set1           ep 41 set 1  test 0.8618  current 0.9998  set1 0.9998  (3666 s)
  base224_set1           ep 42 set 1  test 0.8641  current 1.0000  set1 1.0000  (3755 s)
  base224_set1           ep 43 set 1  test 0.8645  current 0.9999  set1 0.9999  (3845 s)
  base224_set1           ep 44 set 1  test 0.8664  current 1.0000  set1 1.0000  (3934 s)
  base224_set1           ep 45 set 1  test 0.8655  current 0.9999  set1 0.9999  (4024 s)
